Timestamp,Processor(_Total) % Processor Time,Memory Available MBytes,PhysicalDisk(_Total) Disk Reads/sec,PhysicalDisk(_Total) Disk Writes/sec,Network Interface(eth0) Bytes Total/sec,request
2024-09-10 13:00:00,10.5,2048.0,29.225120417656605,19.09671582335686,500000.0,1000.0
2024-09-10 13:00:30,10.501950195019502,2047.897589758976,33.56768930629204,28.627853853292763,500050.00500050007,1000.4000400040004
2024-09-10 13:01:00,10.503900390039004,2047.7951795179517,30.766888567610856,22.256194371293056,500100.0100010001,1000.8000800080008
2024-09-10 13:01:30,10.505850585058505,2047.6927692769277,27.631956307325165,32.432452953051126,500150.01500150014,1001.2001200120012
2024-09-10 13:02:00,10.507800780078007,2047.5903590359037,33.35711880572928,20.00155953925144,500200.0200020002,1001.6001600160016
2024-09-10 13:02:30,10.509750975097509,2047.4879487948795,24.563117071795567,31.20284278997684,500250.0250025003,1002.000200020002
2024-09-10 13:03:00,10.511701170117012,2047.3855385538554,32.900138609108254,21.544581151681374,500300.0300030003,1002.4002400240024
2024-09-10 13:03:30,10.513651365136514,2047.2831283128312,29.606684773084197,23.44917913963397,500350.03500350035,1002.8002800280028
2024-09-10 13:04:00,10.515601560156016,2047.1807180718072,32.02327661705568,26.904801457810354,500400.0400040004,1003.2003200320032
2024-09-10 13:04:30,10.517551755175518,2047.0783078307832,32.550082632950314,25.72032057693803,500450.0450045004,1003.6003600360036
2024-09-10 13:05:00,10.51950195019502,2046.975897589759,29.459112080907886,16.128522427025334,500500.0500050005,1004.000400040004
2024-09-10 13:05:30,10.521452145214521,2046.873487348735,26.46285954746503,15.634047649011011,500550.05500550056,1004.4004400440044
2024-09-10 13:06:00,10.523402340234023,2046.7710771077109,31.243192025843186,17.18898185394306,500600.0600060006,1004.8004800480048
2024-09-10 13:06:30,10.525352535253525,2046.6686668666866,32.13949848262156,26.233954592972303,500650.06500650063,1005.2005200520052
2024-09-10 13:07:00,10.527302730273027,2046.5662566256626,29.161989188591456,18.7027360197066,500700.0700070007,1005.6005600560056
2024-09-10 13:07:30,10.529252925292528,2046.4638463846384,32.336077913132016,28.129789171968085,500750.07500750077,1006.000600060006
2024-09-10 13:08:00,10.531203120312032,2046.3614361436144,29.691288635003676,34.55306266253996,500800.0800080008,1006.4006400640064
2024-09-10 13:08:30,10.533153315331534,2046.2590259025903,36.636275100784765,19.742255590146804,500850.08500850084,1006.8006800680068
2024-09-10 13:09:00,10.535103510351036,2046.156615661566,35.75404188235867,26.416058199666953,500900.0900090009,1007.2007200720072
2024-09-10 13:09:30,10.537053705370537,2046.054205420542,26.20351232692265,27.711852610623634,500950.095009501,1007.6007600760076
2024-09-10 13:10:00,10.539003900390039,2045.951795179518,35.15299567628211,22.45377963850025,501000.100010001,1008.000800080008
2024-09-10 13:10:30,10.54095409540954,2045.8493849384938,35.36682305035431,23.4548182959308,501050.10501050105,1008.4008400840085
2024-09-10 13:11:00,10.542904290429043,2045.7469746974698,40.29848613250783,25.026020258071622,501100.1100110011,1008.8008800880089
